objectid,eacode,secter_in_180,lisa_i_secter,lisa_cl_secter,lisa_p_secter,moran_std_secter,moran_lag_secter
1,31001082,0,.12206639,not significant,.36300001,-.43034667,-.28364667
2,10203029,1,.049247202,not significant,.32499999,-.17362165,-.28364667
3,30101015,0,.18519826,low-low,.0049999999,-.43034667,-.43034667
4,20604066,1,.030144479,not significant,.41600001,-.17362165,-.17362165
5,30332003,2,.0069061681,not significant,.38100001,.083103359,.083103359
6,20603017,0,.18519826,low-low,.013,-.43034667,-.43034667
7,30902052,0,.18519826,low-low,.015,-.43034667,-.43034667
8,30901003,0,.18519826,low-low,.048,-.43034667,-.43034667
9,30334001,3,.063137852,not significant,.32100001,.33982837,.18579336
10,30307020,2,.019706994,not significant,.259,.083103359,.23713836
11,30108007,0,.18519826,not significant,.088,-.43034667,-.43034667
12,30806002,0,.18519826,low-low,.016000001,-.43034667,-.43034667
13,30709070,1,.030144479,not significant,.5,-.17362165,-.17362165
14,20909017,0,.18519826,low-low,.028999999,-.43034667,-.43034667
15,30302038,0,.18519826,low-low,.028000001,-.43034667,-.43034667
16,30708021,1,.030144479,not significant,.477,-.17362165,-.17362165
17,30701025,2,-.000205402,not significant,.417,.083103359,-.0024716491
18,20702056,1,.030144479,not significant,.43900001,-.17362165,-.17362165
19,30710019,0,.093130961,not significant,.49200001,-.43034667,-.21640916
20,10502046,1,.049247202,not significant,.366,-.17362165,-.28364667
21,30102057,0,.18519826,not significant,.089000002,-.43034667,-.43034667
22,30555013,7,1.8679466,high-high,.003,1.3667284,1.3667284
23,10220715,1,.030144479,not significant,.37200001,-.17362165,-.17362165
24,30305094,0,.18519826,low-low,.013,-.43034667,-.43034667
25,20902034,0,.18519826,low-low,.028999999,-.43034667,-.43034667
26,31201069,1,.030144479,not significant,.46900001,-.17362165,-.17362165
27,20807033,1,.045002155,not significant,.428,-.17362165,-.25919667
28,31001007,1,.047973689,not significant,.42399999,-.17362165,-.27631167
29,31105019,0,.18519826,not significant,.082000002,-.43034667,-.43034667
30,20637015,18,17.869385,high-high,.001,4.1907034,4.2640533
31,30901168,1,.052430991,not significant,.435,-.17362165,-.30198416
32,20602086,0,.18519826,low-low,.011,-.43034667,-.43034667
33,20801804,0,.18519826,low-low,.035,-.43034667,-.43034667
34,20601037,2,-.0101616,not significant,.412,.083103359,-.12227666
35,20614030,1,.007857969,not significant,.42399999,-.17362165,-.045259152
36,20703030,1,.061982352,not significant,.146,-.17362165,-.35699666
37,30303005,0,.18519826,not significant,.31099999,-.43034667,-.43034667
38,20705028,0,.18519826,not significant,.061999999,-.43034667,-.43034667
39,30704006,1,.024572851,not significant,.47600001,-.17362165,-.14153104
40,30536007,11,5.7294574,high-high,.001,2.3936284,2.3936284
41,30538005,11,5.7294574,high-high,.001,2.3936284,2.3936284
42,20402017,1,.034601782,not significant,.373,-.17362165,-.19929416
43,30402044,5,.66549605,not significant,.057999998,.8532784,.77992839
44,30201021,0,.18519826,low-low,.014,-.43034667,-.43034667
45,10505032,0,.18519826,low-low,.035,-.43034667,-.43034667
46,20120702,1,.030144479,not significant,.47999999,-.17362165,-.17362165
47,10304009,1,.043516386,not significant,.315,-.17362165,-.25063917
48,20803018,0,.18519826,low-low,.0060000001,-.43034667,-.43034667
49,30802021,0,.18519826,low-low,.043000001,-.43034667,-.43034667
50,30203019,0,.18519826,low-low,.015,-.43034667,-.43034667
51,30602022,0,.17138816,low-low,.045000002,-.43034667,-.39825603
52,30805068,0,.18519826,low-low,.028999999,-.43034667,-.43034667
53,30103044,0,.18519826,low-low,.024,-.43034667,-.43034667
54,30804019,0,.18519826,low-low,.021,-.43034667,-.43034667
55,30533005,12,7.0243735,high-high,.0020000001,2.6503534,2.6503534
56,20610036,0,.18519826,low-low,.026000001,-.43034667,-.43034667
57,31003023,0,.18519826,low-low,.026000001,-.43034667,-.43034667
58,20901801,2,-.001627716,not significant,.37599999,.083103359,-.019586649
59,20603095,2,-.0058946582,not significant,.36399999,.083103359,-.070931651
60,30534015,12,6.9109716,high-high,.001,2.6503534,2.6075659
61,30301009,1,.011041756,not significant,.46900001,-.17362165,-.063596651
62,30902802,0,.18519826,low-low,.0060000001,-.43034667,-.43034667
63,20105016,1,.030144479,not significant,.43000001,-.17362165,-.17362165
64,30702010,2,.0033503829,not significant,.43000001,.083103359,.040315852
65,20820704,1,.030144479,not significant,.46799999,-.17362165,-.17362165
66,10506006,0,.15363233,not significant,.12899999,-.43034667,-.35699666
67,20112801,0,.18519826,not significant,.16,-.43034667,-.43034667
68,30210020,0,.18519826,low-low,.035,-.43034667,-.43034667
69,30507018,4,.32524589,not significant,.17900001,.59655339,.54520839
70,20404033,0,.18519826,not significant,.092,-.43034667,-.43034667
71,20205020,0,.14837134,not significant,.24600001,-.43034667,-.34477165
72,20606046,1,.030144479,not significant,.45199999,-.17362165,-.17362165
73,30206021,0,.18519826,not significant,.061999999,-.43034667,-.43034667
74,30405009,0,.1694153,not significant,.072999999,-.43034667,-.39367166
75,30806035,0,.18519826,low-low,.023,-.43034667,-.43034667
76,20113007,0,.18519826,low-low,.0080000004,-.43034667,-.43034667
77,10502012,1,.037573315,not significant,.49700001,-.17362165,-.21640916
78,30102014,0,.18519826,not significant,.055,-.43034667,-.43034667
79,30341001,2,.0069061681,not significant,.40700001,.083103359,.083103359
80,30304804,0,.15363233,not significant,.164,-.43034667,-.35699666
81,30503024,0,.18519826,low-low,.017000001,-.43034667,-.43034667
82,30104012,0,.18519826,low-low,.037999999,-.43034667,-.43034667
83,20904014,0,.18519826,low-low,.013,-.43034667,-.43034667
84,30335004,3,.098034829,not significant,.249,.33982837,.28848335
85,31002808,,,,,,
86,10205011,0,.18519826,low-low,.029999999,-.43034667,-.43034667
87,20801044,0,.18519826,low-low,.015,-.43034667,-.43034667
88,20421807,1,.030144479,not significant,.40000001,-.17362165,-.17362165
89,10407008,1,.037573315,not significant,.49900001,-.17362165,-.21640916
90,20660001,19,18.550026,high-high,.001,4.4474287,4.1709557
91,30306018,0,.11614779,not significant,.35299999,-.43034667,-.26989353
92,30705021,1,.030144479,not significant,.405,-.17362165,-.17362165
93,20607013,0,.18519826,low-low,.017999999,-.43034667,-.43034667
94,30108032,0,.18519826,not significant,.15000001,-.43034667,-.43034667
95,30707019,0,.18519826,not significant,.104,-.43034667,-.43034667
96,31106022,0,.18519826,not significant,.094999999,-.43034667,-.43034667
97,30552013,11,5.7294574,high-high,.001,2.3936284,2.3936284
98,20655028,13,7.4560122,high-high,.001,2.9070785,2.5647786
99,30101071,0,.18519826,low-low,.039999999,-.43034667,-.43034667
100,20603073,2,.0069061681,not significant,.40099999,.083103359,.083103359
101,20901032,1,.045002155,not significant,.49700001,-.17362165,-.25919667
102,30901059,0,.18519826,low-low,.0060000001,-.43034667,-.43034667
103,30501023,1,.023776906,not significant,.493,-.17362165,-.13694665
104,10536007,3,.11548332,not significant,.252,.33982837,.33982837
105,20702905,0,.18519826,not significant,.061000001,-.43034667,-.43034667
106,20112032,0,.18519826,not significant,.079000004,-.43034667,-.43034667
107,30710075,1,.030144479,not significant,.40799999,-.17362165,-.17362165
108,30207034,0,.18519826,low-low,.027000001,-.43034667,-.43034667
109,10501053,0,.17138816,low-low,.039000001,-.43034667,-.39825603
110,31201125,0,.18519826,low-low,.028000001,-.43034667,-.43034667
111,30501018,1,.030144479,not significant,.454,-.17362165,-.17362165
112,30801073,0,.14100595,not significant,.31099999,-.43034667,-.32765666
113,30802034,0,.18519826,not significant,.090999998,-.43034667,-.43034667
114,31001063,1,.030144479,not significant,.40900001,-.17362165,-.17362165
115,20604047,0,.18519826,low-low,.011,-.43034667,-.43034667
116,31202074,0,.16310211,not significant,.177,-.43034667,-.37900168
117,30203032,0,.18519826,low-low,.035,-.43034667,-.43034667
118,30902017,0,.18519826,low-low,.025,-.43034667,-.43034667
119,30109021,0,.15757807,not significant,.266,-.43034667,-.36616543
120,30508008,2,.062909782,high-high,.041000001,.083103359,.75700653
121,30709035,0,.18519826,low-low,.02,-.43034667,-.43034667
122,30805081,2,.0069061681,not significant,.36199999,.083103359,.083103359
123,10301009,0,.18519826,not significant,.16,-.43034667,-.43034667
